Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Gregor and the Prophecy of Bane,Suzanne Collins,"",9781338722772,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Assistant to the Villain,Hannah Nicole Maehrer,"",9781649375803,paperback,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"",9781408816035,hardcover,read,2024/02/10,2023/04,2023/04,1,"",,"","","","","",4.25,"","","","",No
Yellowface,R.F. Kuang,"",9780008532772,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Daughter of the Moon Goddess,Sue Lynn Tan,"",9780063031302,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Unwanteds,Lisa McMann,"",9781442407688,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Quests for Glory,Soman Chainani,"",9780062658470,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Titan's Curse,Rick Riordan,"",9781368051484,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Red Pyramid: The Graphic Novel,"Orpheus Collar, Rick Riordan",Orpheus Collar (Illustrator),9781423150688,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Sunbearer Trials,Aiden Thomas,"",9781250822130,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Gregor the Overlander,Suzanne Collins,"",9781338722765,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
A Tale of Sorcery...,Chris Colfer,"",9780316055994,hardcover,to-read,2024/02/11,"","",0,"",,,,,,,,,"",,"",No
The Enchantress Returns,Chris Colfer,Brandon Dorman (Illustrator),9780316201544,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Sky in the Deep,Adrienne Young,"",9781250168450,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Legends & Lattes,Travis Baldree,"",9798985663211,paperback,to-read,2024/02/21,"","",0,"",,,,,,,,,"",,"",No
Never Split the Difference: Negotiating as If Your Life Depended on It,Chris Voss,Tahl Raz,9780062407801,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Fourth Wing,Rebecca Yarros,"","",audio,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Light from Uncommon Stars,Ryka Aoki,"",9781250789068,hardcover,to-read,2024/02/21,"","",0,"",,,,,,,,,"",,"",No
Serpent & Dove,Shelby Mahurin,"",9780062878021,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Perks of Being a Wallflower,Stephen Chbosky,"",9781471133466,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Lioness,Emily Perkins,"",9781526660671,paperback,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
The Library of the Unwritten,A.J. Hackwith,"",9781984806383,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Darkest Minds,Alexandra Bracken,"",9781423157373,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Shingaling,R.J. Palacio,"","",,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Tweet Cute,Emma Lord,"",9781250237323,hardcover,read,2024/02/10,2024/02/22,2024/02/21-2024/02/22,1,lighthearted,,"","","","","",4.25,,"","","",No
Anna K,Jenny Lee,"",9781250236432,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Reign,Katharine McGee,"",9780593429747,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Kingdom of the Wicked,Kerri Maniscalco,"",9780316428453,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Free Food for Millionaires,Min Jin Lee,"",9780446504386,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A Darker Shade of Magic,V.E. Schwab,"",9780765376459,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A Thousand Splendid Suns,Khaled Hosseini,"",9781594489501,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Not Here to Be Liked,Michelle Quach,"",9780063038363,hardcover,read,2024/02/10,2024/02/20,2024/02/19-2024/02/20,1,lighthearted,,Character,Yes,"","","",3.75,,"","","",No
A Mango-Shaped Space,Wendy Mass,"",9780316058254,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Everblaze,Shannon Messenger,"",9781442445994,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Good Omens,"Terry Pratchett, Neil Gaiman","",9780552167406,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Lonely Castle in the Mirror,Mizuki Tsujimura,Phillip Gabriel (Translator),9780857527271,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Eros the Bittersweet,Anne Carson,"",9781564781888,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Finna,Nino Cipri,"",9781250245724,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Station Eleven,Emily St. John Mandel,"",9780385353304,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Foxhole Court,Nora Sakavic,"",9781516801510,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Books for Living,Will Schwalbe,"",9780385353540,hardcover,to-read,2024/02/25,"","",0,"",,,,,,,,,"",,"",No
The Final Gambit,Jennifer Lynn Barnes,"",9780316370950,hardcover,read,2024/02/10,2023/04,2023/04,1,"",,,,,,,,,"",,"",No
The Lost Hero: The Graphic Novel,"Robert Venditti, Rick Riordan","Nate Powell (Illustrator), Orpheus Collar (Illustrator)",9781423162797,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Sea of Monsters: The Graphic Novel,"Robert Venditti, Rick Riordan","Attila Futaki (Illustrator), Tamás Gáspár (Illustrator)",9781423145295,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
A Tale of Magic...,Chris Colfer,"",9781510202122,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Sword of Hades,Rick Riordan,"",9781368099325,digital,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
"Rich Dad, Poor Dad",Robert T. Kiyosaki,Sharon Lechter,9780751532715,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Blood of Olympus,Rick Riordan,"",9781423146735,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Fable,Adrienne Young,"",9781250254368,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The House of Hades,Rick Riordan,"",9781423146728,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
This Time It's Real,Ann Liang,"",B09ZNTH869,digital,read,2024/02/10,2023/06,2023/06,1,"",,"","","","","",4.5,,"","","",No
The Ultimate Book Hugger's Guide,Chris Colfer,"",9780316523301,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
"White Cat, Black Dog",Kelly Link,Shaun Tan (Illustrator),9780593449950,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Candymakers,Wendy Mass,"",9780316002585,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Tonight I'm Someone Else: Essays,Chelsea Hodson,"",,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Crooked Kingdom,Leigh Bardugo,"",9781627792134,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Gregor and the Marks of Secret,Suzanne Collins,"",9781338722796,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Every Soul a Star,Wendy Mass,"",9780316002578,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The 48 Laws of Power,Robert Greene,"",9780140280197,paperback,read,2024/02/17,2022/10,2022/10,1,"",,,,,,,,,"",,"",No
Space Opera,Catherynne M. Valente,"",9781472115072,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Bell Jar,Sylvia Plath,"","",paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The School for Good and Evil: The Ever Never Handbook,Soman Chainani,Michael Blank (Illustrator),9780062423054,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Empress of Forever: A Novel,Max Gladstone,"",9780765395832,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Kill Order,James Dashner,"",9780385742887,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
An Author's Odyssey,Chris Colfer,"",9780316383295,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Gregor and the Code of Claw,Suzanne Collins,"",9781338722802,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
We Can Be Heroes,Kyrie McCauley,"",9780062885050,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,"",9780062382801,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Devotion of Suspect X,Keigo Higashino,Alexander O. Smith (Translator),9780312375065,hardcover,to-read,2024/02/13,"","",0,"",,,,,,,,,"",,"",No
The Hammer of Thor,Rick Riordan,"",9781423163381,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Assassin's Apprentice,Robin Hobb,"",9780553573398,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Ruin and Rising,Leigh Bardugo,"",9780805094619,hardcover,read,2024/02/10,2021/06,2021/06,1,"",,,,,,,,,"",,"",No
Today Tonight Tomorrow,Rachel Lynn Solomon,"",9781534440241,hardcover,to-read,2024/02/13,"","",0,"",,,,,,,,,"",,"",No
A Grimm Warning,Chris Colfer,"",9780316406819,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
We Hunt the Flame,Hafsah Faizal,"",9780374311544,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Island of Fire,Lisa McMann,"",9781442458468,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Investing All-in-One for Dummies,Eric Tyson,"","",digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Son of Neptune: The Graphic Novel,"Robert Venditti, Rick Riordan","Antoine Dodé (Illustrator), Orpheus Collar (Illustrator)",9780141370507,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Little Fires Everywhere,Celeste Ng,"",9780735224292,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A Song to Drown Rivers,Ann Liang,"",9781250289469,hardcover,to-read,2024/02/17,"","",0,"",,,,,,,,,"",,"",No
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"",9780345418913,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Nightfall,Shannon Messenger,"",9781481497404,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
King of Scars,Leigh Bardugo,"",9781250142283,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Art of Thinking Clearly,Rolf Dobelli,"",9780062219688,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
