Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Last Violent Call,Chloe Gong,"",9781665934510,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Bellies,Nicola Dinan,"",9781529900309,digital,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
I Hope This Doesn't Find You,Ann Liang,"",9781338827156,hardcover,read,2024/02/10,2024/02/17,2024/02/17,1,lighthearted,medium,Character,"","","","",4.25,,"","","",No
In a Glass Grimmly,Adam Gidwitz,Hugh D'Andrade (Illustrator),9780525425816,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Titan's Curse: The Graphic Novel,"Robert Venditti, Rick Riordan","Gregory Guilhaumond (Illustrator), Attila Futaki (Illustrator)",9781423145301,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Ocean at the End of the Lane,Neil Gaiman,"",9780062255655,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Blackout,"Angie Thomas, Dhonielle Clayton, Ashley Woodfolk, Nic Stone, Nicola Yoon, Tiffany D. Jackson","",9780063088092,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
"The Tunnel to Summer, the Exit of Goodbyes",Mei Hachimoku,"Kukka (Illustrator), Evan Ward (Translator)",9781638584155,paperback,to-read,2024/02/13,"","",0,"",,,,,,,,,"",,"",No
Piranesi,Susanna Clarke,"",9781635575637,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
If You Could See the Sun,Ann Liang,"",9781335915849,hardcover,read,2024/02/10,2023/04,2023/04,1,"",,"","","","","",4.25,,"","","",No
The Son of Neptune,Rick Riordan,"",9781423140597,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Getaway List,Emma Lord,"",9781250903990,hardcover,read,2024/02/10,2024/02/27,2024/02/25-2024/02/27,1,lighthearted,,Character,"","","","",3.75,,"","","",No
Witchmark,C.L. Polk,"",9781250162687,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
To Kill a Mockingbird,Harper Lee,"",9780060935467,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Brothers Hawthorne,Jennifer Lynn Barnes,"",9780316480772,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Travelling Cat Chronicles,Hiro Arikawa,Philip Gabriel (Translator),9780451491336,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Six of Crows,Leigh Bardugo,"",9781627792127,hardcover,read,2024/02/10,2021,2021,1,"",,"","","","","",4.75,"","","","",No
The School for Good and Evil,Soman Chainani,Iacopo Bruno (Illustrator),9780062104908,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Defy the Night,Brigid Kemmerer,"",9781547604678,digital,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Starry River of the Sky,Grace Lin,"",9780316125956,hardcover,read,2024/02/10,"","",1,"",,"","","","","",4.5,"","","","",No
"The Greatest Beer Run Ever: A Memoir of Friendship, Loyalty, and War","John Chick Donohue, J. T. Molloy","",9780062995469,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,"",,,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Under the Whispering Door,TJ Klune,"",9781250217349,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Breath: The New Science of a Lost Art,James Nestor,"",9780735213616,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
The Lightning Thief,Rick Riordan,Victo Ngai (Illustrator),9781368051477,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Yours Truly,Abby Jimenez,"",9781538704394,paperback,to-read,2024/02/20,"","",0,"",,,,,,,,,"",,"",No
The Girl Who Fell Beneath the Sea,Axie Oh,"",9781250780867,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Night Circus,Erin Morgenstern,"",9780385534635,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
There's No Such Thing as an Easy Job,Kikuko Tsumura,Polly Barton (Translator),9781526622242,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Siege and Storm,Leigh Bardugo,"",9780805094602,hardcover,read,2024/02/10,2021/06,2021/06,1,"",,,,,,,,,"",,"",No
The Cruel Prince,Holly Black,"",9780316310277,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Jade City,Fonda Lee,"",9780316440882,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
365 Days of Wonder: Mr. Browne's Book of Precepts,R.J. Palacio,"",9780553499049,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Grisha Trilogy,Leigh Bardugo,"","",digital,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Gregor and the Curse of the Warmbloods,Suzanne Collins,"",9781338722789,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Very Secret Society of Irregular Witches,Sangu Mandanna,"",9780593439357,paperback,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
More Than This,Patrick Ness,"",9781406350487,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Falling Kingdoms,Morgan Rhodes,"",9781595145840,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Give and Take: Why Helping Others Drives Our Success,Adam M. Grant,"",9780670026555,hardcover,to-read,2024/02/13,"","",0,"",,,,,,,,,"",,"",No
Percy Jackson & the Olympians: The Ultimate Guide,Rick Riordan,Mary-Jane Knight,9780594035954,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Son of Sobek,Rick Riordan,"",9781423188100,digital,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Battle of the Labyrinth,Rick Riordan,"",9781368051460,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"",9781501139239,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
House of Many Ways,Diana Wynne Jones,"",9780061477959,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Mr. Lemoncello's Library Olympics,Chris Grabenstein,"",9780553510409,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
How We Disappeared,Jing-Jing Lee,"",9781335953759,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Scorch Trials,James Dashner,"",9780385738750,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
When Women Were Dragons,Kelly Barnhill,"",9780385548229,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Worlds Collide,Chris Colfer,Brandon Dorman (Illustrator),9780316355896,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Mark of Athena,Rick Riordan,Nilah Magruder (Illustrator),9781368051422,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Daughter of the Deep,Rick Riordan,"",9781368077927,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Jeremy Fink and the Meaning of Life,Wendy Mass,"",9780316058490,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Just Kids,Patti Smith,"",9780066211312,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Kafka on the Shore,Haruki Murakami,"",9781400079278,paperback,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
The City of Brass,S.A. Chakraborty,"",9780062678102,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Yolk,Mary H.K. Choi,"",9781534446021,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
"Red, White & Royal Blue",Casey McQuiston,"",9781250316776,paperback,read,2024/02/10,2023/07,2023/07,1,"",,"","","","","",4.75,"","","","",No
The Midnight Library,Matt Haig,"",9780525559474,hardcover,read,2024/02/10,2023,2023-2023,1,"",,,,,,,,,"",,"",No
The Ballad of Songbirds and Snakes,Suzanne Collins,"",9781338635171,hardcover,read,2024/02/10,2023,2023-2023,1,"",,,,,,,,,"",,"",No
A Clockwork Orange,Anthony Burgess,"",9780393341768,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Sword of Summer,Rick Riordan,"",9780141342412,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
When the Sea Turned to Silver,Grace Lin,"",9780316125925,hardcover,read,2024/02/10,"","",1,"",,"","","","","",4.5,"","","","",No
Frostblood,Elly Blake,"",9780316273251,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Ocean's Godori,Elaine U. Cho,"",9781638930594,hardcover,to-read,2024/02/18,"","",0,"",,,,,,,,,"",,"",No
Camp Half-Blood Confidential,Rick Riordan,"",9781484785553,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Golden Compass,Philip Pullman,"",9780679879244,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A Tale of Witchcraft...,Chris Colfer,"",9781510202191,hardcover,read,2024/02/11,2024/02/10,2024/02/10,1,"funny, lighthearted",medium,"","","","","",4.0,,"","","",No
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,Ka Yoshida (Translator),9780812994865,hardcover,to-read,2024/02/13,"","",0,"",,,,,,,,,"",,"",No
The Candymakers and the Great Chocolate Chase,Wendy Mass,"",9780316089197,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Death Cure,James Dashner,"",9780385738781,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Binti,Nnedi Okorafor,"",9780765384461,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A Psalm for the Wild-Built,Becky Chambers,"",9781250236210,hardcover,to-read,2024/02/21,"","",0,"",,,,,,,,,"",,"",No
Sting,Jude Watson,"",,,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Inheritance Games,Jennifer Lynn Barnes,"",9781368052405,hardcover,read,2024/02/10,2023/04,2023/04,1,"",,,,,,,,,"",,"",No
Beyond the Kingdoms,Chris Colfer,"",9780316347112,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
"This book will teach you how to write better: Learn how to get what you want, increase your conversion rates, and make it easier to write anything",Neville Medhora,"",9780989895309,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Where the Mountain Meets the Moon,Grace Lin,"",9780316114271,hardcover,read,2024/02/10,"","",1,"",,"","","","","",4.5,"","","","",No
Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenment,Robert Wright,Fred Sanders (Narrator),9781508235408,audio,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A Little History of Philosophy,Nigel Warburton,"",9780300152081,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Hawthorne Legacy,Jennifer Lynn Barnes,"",9780759557635,hardcover,read,2024/02/10,2023/04,2023/04,1,"",,,,,,,,,"",,"",No
Last of Her Name,Jessica Khoury,"",9781338243369,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Maze Runner,James Dashner,"",9780385737944,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Grandest Game,Jennifer Lynn Barnes,"",9780316481014,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Here I Am,Jonathan Safran Foer,"",9780241146187,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
If We Were Villains,M.L. Rio,"",9781250095282,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Bad Blood,Jennifer Lynn Barnes,"",9780316540865,paperback,read,2024/02/10,2023/07,2023/07,1,"",,,,,,,,,"",,"",No
The Wrath & the Dawn,Renée Ahdieh,"",9780399171611,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Curvy Tree,Chris Colfer,Brandon Dorman (Illustrator),9780316406857,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
In Memoriam,Alice Winn,"",9780593534571,digital,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
The Secret History,Donna Tartt,"",9781400031702,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Less,Andrew Sean Greer,"",9780316316125,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Illuminae,"Jay Kristoff, Amie Kaufman","",9780553499117,hardcover,to-read,2024/02/20,"","",0,"",,,,,,,,,"",,"",No
The Throne of Fire,Rick Riordan,Matt Griffin (Illustrator),9781368013598,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
A Climb to the Top: Communication & Leadership Tactics to Take Your Career to New Heights,Chuck Garcia,"",9781599326887,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Fake Dates and Mooncakes,Sher Lee,"",9780593569955,paperback,read,2024/02/10,2024/02/22,2024/02/22,1,lighthearted,,"","","","","",3.5,,"","","",No
The New Life,Tom Crewe,"",9781784744694,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
The Dark Prophecy,Rick Riordan,"",9781484746424,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Percy Jackson's Greek Gods,Rick Riordan,John Rocco (Illustrator),9781484712375,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Mistborn,Brandon Sanderson,"",9781429914567,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
When We Were Orphans,Kazuo Ishiguro,Michael Maloney (Narrator),9780571225408,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
